AUC_true,h_hist,mismatch,m_application,C_labels,max_labels_tested,Vmin,rho,robust_oracle_cap,status
0.65,0.575,-0.0750000000000001,16,64,4096,0.00941062572554113,0.123799733349378,1,finite_within_grid
0.65,0.575,-0.0750000000000001,32,128,4096,0.00462517745819625,0.176589452351731,0.902458026128681,finite_within_grid
0.65,0.575,-0.0750000000000001,64,256,4096,0.00229255487795455,0.250824000138387,0.579106785691598,finite_within_grid
0.65,0.575,-0.0750000000000001,128,512,4096,0.00114126897619138,0.35549619281087,0.337340705847546,finite_within_grid
0.65,0.575,-0.0750000000000001,256,1024,4096,0.000569382372399216,0.503300023952272,0.183838303213652,finite_within_grid
0.65,0.575,-0.0750000000000001,512,Inf,4096,0.000284378157275489,0.71216535411783,0.0962463899608012,safe_but_grid_censored
0.65,0.6,-0.05,16,64,4096,0.00941062572554113,0.0825331555662522,1,finite_within_grid
0.65,0.6,-0.05,32,64,4096,0.00462517745819625,0.117726301567821,1,finite_within_grid
0.65,0.6,-0.05,64,128,4096,0.00229255487795455,0.167216000092258,0.956715128500731,finite_within_grid
0.65,0.6,-0.05,128,256,4096,0.00114126897619138,0.236997461873914,0.62685233288374,finite_within_grid
0.65,0.6,-0.05,256,512,4096,0.000569382372399216,0.335533349301515,0.371007781577993,finite_within_grid
0.65,0.6,-0.05,512,2048,4096,0.000284378157275489,0.47477690274522,0.204266907160163,finite_within_grid
0.65,0.625,-0.025,16,64,4096,0.00941062572554113,0.0412665777831261,1,finite_within_grid
0.65,0.625,-0.025,32,64,4096,0.00462517745819625,0.0588631507839103,1,finite_within_grid
0.65,0.625,-0.025,64,128,4096,0.00229255487795455,0.0836080000461289,1,finite_within_grid
0.65,0.625,-0.025,128,256,4096,0.00114126897619138,0.118498730936957,1,finite_within_grid
0.65,0.625,-0.025,256,512,4096,0.000569382372399216,0.167766674650757,0.95343398488956,finite_within_grid
0.65,0.625,-0.025,512,1024,4096,0.000284378157275489,0.23738845137261,0.625434325643999,finite_within_grid
0.65,0.65,0,16,64,4096,0.00941062572554113,0,1,finite_within_grid
0.65,0.65,0,32,64,4096,0.00462517745819625,0,1,finite_within_grid
0.65,0.65,0,64,128,4096,0.00229255487795455,0,1,finite_within_grid
0.65,0.65,0,128,256,4096,0.00114126897619138,0,1,finite_within_grid
0.65,0.65,0,256,512,4096,0.000569382372399216,0,1,finite_within_grid
0.65,0.65,0,512,1024,4096,0.000284378157275489,0,1,finite_within_grid
0.65,0.675,0.025,16,64,4096,0.00941062572554113,0.0412665777831261,1,finite_within_grid
0.65,0.675,0.025,32,64,4096,0.00462517745819625,0.0588631507839103,1,finite_within_grid
